# TStellate_CT1 Optimisation
# Monday 5 November  22:42:01 EST 2012
 
#param.w.x[lsr][ts] = 0.0033	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.0028039	[1e-07,0.3]
#param.w.x[ds][ts] = 0.000122	[1e-07,0.3]
#param.w.x[tv][ts] = 0.000178	[1e-07,0.3]
#param.w.x[glg][ts] = 0.00016	[1e-07,0.3]
#param.ts_gleak = 0.000473539	[5e-05,0.005]
#param.ts_erev = -62.9	[0.03,0.08]
# final error=14.550335
# Time	Error Vec	 Reference Vec (mV)
28.60	-49.566852	-60.030529
28.70	-49.207611	-60.043327
28.80	-48.848369	-60.058833
28.90	-48.987195	-60.074659
29.00	-49.314109	-60.089376
29.10	-49.553232	-60.100650
29.20	-49.774385	-60.105610
29.30	-50.196127	-60.110117
29.40	-50.609176	-60.119340
29.50	-50.608969	-60.133924
29.60	-50.608763	-60.151845
29.70	-50.608556	-60.170052
29.80	-50.631867	-60.187051
29.90	-50.688278	-60.199944
30.00	-50.619663	-60.207293
30.10	-50.464095	-60.205737
30.20	-50.308528	-60.192189
30.30	-50.152961	-60.174446
30.40	-49.997393	-60.158908
30.50	-49.852380	-60.143315
30.60	-49.736265	-60.128199
30.70	-49.620149	-60.115614
30.80	-49.504034	-60.104955
30.90	-49.387918	-60.097542
31.00	-49.271803	-60.093729
31.10	-49.128586	-60.092141
31.20	-48.982920	-60.086865
31.30	-48.837255	-60.078091
31.40	-48.658780	-60.073125
31.50	-48.423047	-60.073645
31.60	-48.187314	-60.081281
31.70	-47.951580	-60.097944
31.80	-47.715847	-60.120387
31.90	-47.578491	-60.140467
32.00	-48.344973	-60.154615
32.10	-49.070024	-60.164199
32.20	-49.291177	-60.168753
32.30	-49.501067	-60.164912
32.40	-49.668138	-60.142098
32.50	-49.835209	-60.069719
32.60	-50.002279	-59.839761
32.70	-50.196440	-59.702705
32.80	-50.417593	-59.683003
32.90	-50.638746	-59.910032
33.00	-50.859899	-60.129604
33.10	-50.368943	-60.259945
33.20	-49.659821	-60.300593
33.30	-48.950699	-60.299969
33.40	-48.241578	-60.287448
33.50	-47.532456	-60.272361
33.60	-49.945714	-60.194723
33.70	-48.828333	-59.906726
33.80	-47.710952	-59.307911
33.90	-47.007904	-58.439559
34.00	-47.512549	-57.331847
34.10	-48.017194	-55.956377
34.20	-48.521839	-54.353883
34.30	-49.155211	-52.522137
34.40	-50.012015	-50.562813
34.50	-50.498562	-48.259351
34.60	-50.180934	-45.697837
34.70	-49.863306	-40.963827
34.80	-49.545678	-33.901012
34.90	-49.228050	-26.382561
35.00	-48.956658	-24.174326
35.10	-49.078030	-28.845101
35.20	-49.199403	-37.462593
35.30	-49.320775	-47.191745
35.40	-49.442147	-54.242662
35.50	-49.563520	-57.894117
35.60	-49.684892	-59.078511
